year,ALASKA JUNCTION,ALKI,BALLARD NORTH,BALLARD SOUTH,BELLTOWN,bitterlake,brighton/dunlap,capitol hill,central area/squire park,chinatown/international district,claremont/rainier vista,columbia city,commercial duwamish,commercial harbor island,downtown commercial,eastlake east,eastlake west,fauntleroy sw,first hill,fremont,genesee,georgetown,greenwood,high point,highland park,hillman city,judkins park/north beach,lakecity,lakewood/seward park,madison park,madrona/leschi,magnolia,mid beacon hill,miller park,montlake/portage bay,morgan,mount baker,new holly,north admiral,north beacon hill,north delridge,northgate,phinney ridge,pigeon point,pioneer square,queen anne,rainier beach,rainier view,roosevelt/ravenna,roxill/westwood/arbor,sandpoint,slu/cascade,sodo,south beacon hill,south delridge,south park,university,unknown,wallingford
2008,634,291,1119,1593,1802,1004,1097,2789,1607,1699,247,358,32,17,4465,63,360,202,1532,1142,155,676,1134,309,582,394,463,1515,410,176,887,711,840,389,330,434,727,406,596,1194,455,2708,470,82,1228,3023,748,683,1691,700,1073,2629,874,313,169,546,2092,475,1040
2009,766,309,1310,1430,1738,1092,912,3075,1568,1432,273,348,31,16,4764,76,381,252,1603,1053,193,513,1143,447,590,313,357,1454,348,198,693,830,731,343,336,538,686,424,623,1220,383,2869,520,78,1220,2964,713,743,2159,808,1192,2993,857,336,162,452,1947,353,1100
2010,713,339,1151,1344,1868,1040,874,3166,1460,1427,277,387,39,12,4271,76,338,282,1533,1134,183,564,1243,384,547,319,324,1428,314,181,735,818,734,382,408,561,792,374,615,1007,412,2898,517,77,864,2608,768,691,1975,757,1252,2630,920,286,177,396,1959,366,1053
2011,652,273,1093,1360,1406,1226,759,2740,1360,1119,260,388,32,12,4262,108,380,238,1294,914,157,570,1069,435,626,308,347,1481,405,208,706,701,638,316,363,503,655,343,527,1001,428,2944,449,69,744,2483,555,579,1935,769,1002,2068,815,289,185,376,2114,410,956
2012,691,265,1015,1392,1228,955,759,3126,1183,1312,271,363,35,17,4745,72,338,258,1399,984,187,665,1038,385,617,253,302,1483,334,183,633,792,607,289,285,506,648,370,505,874,423,2727,487,77,693,2488,605,598,1740,825,987,2089,725,280,181,446,2046,352,969
2013,770,323,1138,1611,1396,1120,834,3523,1258,1329,313,404,35,13,5025,111,459,287,1479,1061,168,619,1240,395,683,277,401,1556,395,206,655,802,702,354,469,507,713,396,516,1026,401,3237,486,77,778,3033,575,563,1866,1059,1258,2071,779,207,206,358,2069,407,1063
2014,622,270,1431,1756,1716,1318,890,3991,1390,1555,351,426,28,11,5313,112,415,296,1905,1049,220,683,1466,308,638,320,534,1611,441,233,930,1036,678,453,565,374,901,369,523,1021,314,3617,540,53,916,2998,695,550,2227,918,1410,2462,891,271,260,530,2340,278,1111
2015,729,269,1388,1771,1516,1110,689,3880,1547,1338,246,321,16,20,5512,113,322,252,1626,962,193,606,1471,409,584,338,530,1511,390,239,802,1117,485,411,455,490,738,318,484,851,339,3900,478,46,945,3087,537,582,2058,1000,1271,2382,955,205,230,445,2590,310,1064
2016,993,320,1451,1886,1448,1179,587,3770,1306,1878,270,308,35,21,5289,111,418,259,1333,1075,139,680,1440,457,719,236,469,1547,366,295,757,1053,567,446,522,625,799,285,582,914,468,3897,546,57,818,2994,582,581,2376,1039,1535,2669,896,233,290,507,2550,395,1333
2017,991,344,1260,2114,1940,1293,682,3946,1341,2013,332,350,52,35,5879,114,402,266,1567,1087,119,885,1421,483,652,243,546,1662,345,193,672,982,533,463,388,532,679,300,640,808,433,4168,580,63,773,3169,506,563,2434,1057,1369,2639,1095,212,279,464,2637,605,1156
2018,1006,263,1393,2337,1580,1171,651,3783,1379,2049,343,364,61,31,5769,79,333,302,1622,1545,135,931,1400,436,753,217,578,1677,294,189,721,1041,599,357,409,607,962,287,633,1046,416,3857,550,77,909,3323,629,596,2404,982,1231,2674,1479,247,306,565,2508,665,1214
2019,942,248,1330,2331,1416,1030,605,3498,1317,1811,250,308,34,30,4962,97,381,283,1900,1210,112,892,1429,418,708,196,528,1559,230,171,624,1003,477,370,364,502,760,302,546,1004,403,3477,472,75,950,3397,475,397,2426,950,1259,2451,1403,220,269,565,2539,450,1017
2020,917,302,1412,2422,1024,1097,646,3159,1389,1448,270,378,36,26,2839,82,452,307,1736,1232,176,851,1464,412,586,243,584,1471,314,266,703,1242,488,501,495,634,849,248,658,994,377,2956,669,72,666,3495,340,434,2491,808,1806,2310,752,223,164,346,2296,1022,1260
